Id;Nombre;PVP;PVP_Unidad_Medida;Cantidad_Neta;URL_Producto;URL_Imagen;UltActualizacion
9263013;Guacamole picante tarrina 150 grs.;1,59 €;10,60 € / el kilo;0;https://www.gadisline.com/producto/?productID=9263013;https://www.gadisline.com/resources/images/9263013_F_001.jpg;02/11/2019 14:25:15
9263080;Guacamole suave tarrina 200 grs. Unidad;1,59 €;7,95 € / el kilo;0;https://www.gadisline.com/producto/?productID=9263080;https://www.gadisline.com/resources/images/9263080_F_001.jpg;02/11/2019 14:25:15
7889075;Tomate rallado tarrina 4x55 grs.;1,45 €;6,59 € / el kilo;0;https://www.gadisline.com/producto/?productID=7889075;https://www.gadisline.com/resources/images/7889075_F_001.jpg;02/11/2019 14:25:15
7829018;Champiñón categoría 1ª kilo;2,59 €;2,59 €;0;https://www.gadisline.com/producto/?productID=7829018;https://www.gadisline.com/resources/images/7829018_F_001.jpg;02/11/2019 14:25:15
7829020;Champiñón laminado categoría 1ª bandeja 250...;1,25 €;5,00 € / el kilo;0;https://www.gadisline.com/producto/?productID=7829020;https://www.gadisline.com/resources/images/7829020_F_001.jpg;02/11/2019 14:25:15
7829010;Champiñón pie cortado 1ª bandeja 300 grs.;1,17 €;3,90 € / el kilo;0;https://www.gadisline.com/producto/?productID=7829010;https://www.gadisline.com/resources/images/7829010_F_001.jpg;02/11/2019 14:25:15
7829093;Champiñón PORTOBELLO calibre 120/130 mm.bandeja...;1,90 €;11,52 € / el kilo;0;https://www.gadisline.com/producto/?productID=7829093;https://www.gadisline.com/resources/images/7829093_F_001.jpg;02/11/2019 14:25:16
7829094;Champiñón PORTOBELLO laminado bandeja 250 grs.;1,75 €;7,00 € / el kilo;0;https://www.gadisline.com/producto/?productID=7829094;https://www.gadisline.com/resources/images/7829094_F_001.jpg;02/11/2019 14:25:16
7840500;Endibias categoría 1ª 3/4 piezas bandeja 450...;1,28 €;2,84 € / el kilo;0;https://www.gadisline.com/producto/?productID=7840500;https://www.gadisline.com/resources/images/7840500_F_001.jpg;02/11/2019 14:25:16
7885671;Mini combinado setas exóticas bandeja 300 grs.;4,35 €;14,50 € / el kilo;0;https://www.gadisline.com/producto/?productID=7885671;https://www.gadisline.com/resources/images/7885671_F_001.jpg;02/11/2019 14:25:16
7885673;Seta Shimeji marrón bandeja 150 grs.;1,99 €;13,27 € / el kilo;0;https://www.gadisline.com/producto/?productID=7885673;https://www.gadisline.com/resources/images/7885673_F_001.jpg;02/11/2019 14:25:16
7885699;Seta shitake categoría 1ª kilo;9,25 €;9,25 €;0;https://www.gadisline.com/producto/?productID=7885699;https://www.gadisline.com/resources/images/7885699_F_001.jpg;02/11/2019 14:25:16
7885624;Setas bandeja 400 grs. categoria 1ª unidad;2,49 €;6,23 € / el kilo;0;https://www.gadisline.com/producto/?productID=7885624;https://www.gadisline.com/resources/images/7885624_F_001.jpg;02/11/2019 14:25:16
7885622;Setas categoría 1ª bandeja 200 grs.;1,39 €;6,95 € / el kilo;0;https://www.gadisline.com/producto/?productID=7885622;https://www.gadisline.com/resources/images/7885622_F_001.jpg;02/11/2019 14:25:16
7885628;Setas categoría 1ª kilo;4,99 €;4,99 €;0;https://www.gadisline.com/producto/?productID=7885628;https://www.gadisline.com/resources/images/7885628_F_001.jpg;02/11/2019 14:25:17
7843098;Espárrago verde categoría 1ª calibre 6/8 mm....;2,56 €;8,00 € / el kilo;0;https://www.gadisline.com/producto/?productID=7843098;https://www.gadisline.com/resources/images/7843098_F_001.jpg;02/11/2019 14:25:17
7843093;Espárrago verde grueso (24-32MM) kilo;9,25 €;9,25 €;0;https://www.gadisline.com/producto/?productID=7843093;https://www.gadisline.com/resources/images/7843093_F_001.jpg;02/11/2019 14:25:17
7843097;Espárragos verdes puntas calibre 8/12 mm.200 grs.;3,99 €;19,95 € / el kilo;0;https://www.gadisline.com/producto/?productID=7843097;https://www.gadisline.com/resources/images/7843097_F_001.jpg;02/11/2019 14:25:17
7845089;Judía redondo bandeja 500 grs.;1,80 €;3,60 € / el kilo;0;https://www.gadisline.com/producto/?productID=7845089;https://www.gadisline.com/resources/images/7845089_F_001.jpg;02/11/2019 14:25:17
7845090;Judías 1ª bandeja 500 grs.;1,86 €;3,72 € / el kilo;0;https://www.gadisline.com/producto/?productID=7845090;https://www.gadisline.com/resources/images/7845090_F_001.jpg;02/11/2019 14:25:17
7849089;Judías categoría 1ª kilo;3,49 €;3,49 €;0;https://www.gadisline.com/producto/?productID=7849089;https://www.gadisline.com/resources/images/7849089_F_001.jpg;02/11/2019 14:25:17
7809010;Berenjenas kilo;1,50 €;1,50 €;0;https://www.gadisline.com/producto/?productID=7809010;https://www.gadisline.com/resources/images/7809010_F_001.jpg;02/11/2019 14:25:17
7837092;Calabacín redondo 1ª calibre 70/90mm diámetro)...;2,25 €;2,25 €;0;https://www.gadisline.com/producto/?productID=7837092;https://www.gadisline.com/resources/images/7837092_F_001.jpg;02/11/2019 14:25:17
7813010;Calabacín verde categoría 1ª calibre 21/30 cm....;1,29 €;1,29 €;0;https://www.gadisline.com/producto/?productID=7813010;https://www.gadisline.com/resources/images/7813010_F_001.jpg;02/11/2019 14:25:18
7865010;Pepino categoría 1ª calibre 17/25 cm.kilo;1,20 €;1,20 €;0;https://www.gadisline.com/producto/?productID=7865010;https://www.gadisline.com/resources/images/7865010_F_001.jpg;02/11/2019 14:25:18
7873520;Pimiento dulce variedad Padrón 1ª (máximo 8 cm)...;1,50 €;3,75 € / el kilo;0;https://www.gadisline.com/producto/?productID=7873520;https://www.gadisline.com/resources/images/7873520_F_001.jpg;02/11/2019 14:25:18
7873559;Pimiento rojo ecológico pieza (180-250 grs.)...;1,35 €;7,50 € / el kilo;0;https://www.gadisline.com/producto/?productID=7873559;https://www.gadisline.com/resources/images/7873559_F_001.jpg;02/11/2019 14:25:18
7873588;Pimiento rojo italiano categoría 1ª calibre...;2,25 €;2,25 €;0;https://www.gadisline.com/producto/?productID=7873588;https://www.gadisline.com/resources/images/7873588_F_001.jpg;02/11/2019 14:25:18
7873110;Pimiento rojo lamuyo categoría 1ª(calibre...;1,79 €;1,79 €;0;https://www.gadisline.com/producto/?productID=7873110;https://www.gadisline.com/resources/images/7873110_F_001.jpg;02/11/2019 14:25:18
7873089;Pimiento verde italiano categoría 1ª calibre...;1,99 €;1,99 €;0;https://www.gadisline.com/producto/?productID=7873089;https://www.gadisline.com/resources/images/7873089_F_001.jpg;02/11/2019 14:25:18
7873079;Pimiento verde lamuyo categoría 1ª(calibre...;2,17 €;2,17 €;0;https://www.gadisline.com/producto/?productID=7873079;https://www.gadisline.com/resources/images/7873079_F_001.jpg;02/11/2019 14:25:18
7873203;Pimientos (rojo+verde+amarillo)calibre 70/100mm 3...;1,29 €;2,58 € / el kilo;0;https://www.gadisline.com/producto/?productID=7873203;https://www.gadisline.com/resources/images/7873203_F_001.jpg;02/11/2019 14:25:19
7808010;Batata cat.1ª cal.l (230/470 grs) kilo;1,89 €;1,89 €;0;https://www.gadisline.com/producto/?productID=7808010;https://www.gadisline.com/resources/images/7808010_F_001.jpg;02/11/2019 14:25:19
9299030;Mandioca (yuca) categoría 1ª kilo;2,25 €;2,25 €;0;https://www.gadisline.com/producto/?productID=9299030;https://www.gadisline.com/resources/images/9299030_F_001.jpg;02/11/2019 14:25:19
